LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2303\AC_Raw_X2303-avg.dat
2024-06-11 10:51:13
checking coordiantes 50 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:51:13
History:
Data Type: SLOPE
Step size: 0.05
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.
-154.500000000000	NaN	g
-154.450000000000	NaN	g
-154.400000000000	NaN	g
-154.350000000000	NaN	g
-154.300000000000	NaN	g
-154.250000000000	6.296033115050E-5	g
-154.200000000000	6.744849397825E-5	g
-154.150000000000	7.383631848717E-5	g
-154.100000000000	7.946419752133E-5	g
-154.050000000000	8.346552659200E-5	g
-154.000000000000	8.607382429800E-5	g
-153.950000000000	8.740504191592E-5	g
-153.900000000000	8.896735406417E-5	g
-153.850000000000	9.068197851650E-5	g
-153.800000000000	9.302928484733E-5	g
-153.750000000000	9.591311833950E-5	g
-153.700000000000	9.873917819908E-5	g
-153.650000000000	0.000100828321	g
-153.600000000000	0.000102795049	g
-153.550000000000	0.000104594516	g
-153.500000000000	0.000105929369	g
