LTPII ALS_24Oct00
Surface data
C:\Beamline Controls\BCS Setup Data\240611\AutoColl 2303\AC_YF2303-001.dat
2024-06-11 10:48:41
checking coordiantes 50 um steps
Number of data: 21
Analysis: Autocollimator
2024-06-11 10:48:41
History:
Data Type: SLOPE
Step size: 0.05
X unit: mm
Z unit: rad
Piston:2
Tilt: 9.06394755102215e-003
Curvature: 0.00000000000000e+000



Focal length: 1250.000000
Optical mult: 1.011030
Wavelength: 0.000670
Temperatures: Not available
Scan type: MEAS
X resolution: 0.000040
Margin,speed or margin: 10.000000,2.000000
Camera type: Cronin dual opposed array, EPP
	
	
	
	
	
	
	
	
	
	

*Data starts.
-154.499980000000	0.000000000000	g
-154.450000000000	0.000000000000	g
-154.400000000000	0.000000000000	g
-154.350020000000	0.000000000000	g
-154.300000000000	0.000000000000	g
-154.250000000000	0.000000000000	g
-154.200000000000	0.000000000000	g
-154.150020000000	0.000000000000	g
-154.100020000000	0.000000000000	g
-154.049980000000	0.000000000000	g
-153.999980000000	0.000000000000	g
-153.950020000000	0.000000000000	g
-153.900020000000	0.000000000000	g
-153.849980000000	0.000000000000	g
-153.800020000000	0.000000000000	g
-153.750020000000	0.000000000000	g
-153.699980000000	0.000000000000	g
-153.650000000000	0.000000000000	g
-153.600020000000	0.000000000000	g
-153.550020000000	0.000000000000	g
-153.499980000000	0.000000000000	g
